DecayParticle1_Name DecayParticle1_isBoson DecayParticle1_mass DecayParticle1_E DecayParticle1_px DecayParticle1_py DecayParticle1_pz DecayParticle2_Name DecayParticle2_isBoson DecayParticle2_mass DecayParticle2_E DecayParticle2_px DecayParticle2_py DecayParticle2_pz
b_quark 0 4.18 142.473 -75 16 -120 b_quark 0 4.18 284.372 160 -115 205
b_quark 0 4.18 158.352 -56 69 -131 b_quark 0 4.18 247.876 130 -61 202
b_quark 0 4.18 191.928 137 -95 -95 b_quark 0 4.18 221.388 -105 179 77
b_quark 0 4.18 127.544 -127 11 0 b_quark 0 4.18 142.026 136 37 17
W+ 1 80.4 185.713 -146 -25 -78 W- 1 80.4 139.908 49 103 -10
W+ 1 80.4 141.867 83 -7 82 W- 1 80.4 213.572 -148 -37 -126
b_quark 0 4.18 55.7088 -34 29 33 b_quark 0 4.18 100.953 42 39 -83
b_quark 0 4.18 77.4498 -18 61 44 b_quark 0 4.18 128.579 23 19 -125
b_quark 0 4.18 160.722 -141 2 -77 b_quark 0 4.18 289.06 239 -89 136
b_quark 0 4.18 179.773 109 142 16 b_quark 0 4.18 227.694 -203 -103 3
b_quark 0 4.18 61.6399 -51 -34 -5 b_quark 0 4.18 154.284 149 -17 -36
W+ 1 80.4 141.916 94 66 -22 W- 1 80.4 198.731 -167 -71 -10
b_quark 0 4.18 55.7806 -51 -22 -3 b_quark 0 4.18 151.349 143 18 -46
b_quark 0 4.18 161.368 -94 -131 5 b_quark 0 4.18 267.272 141 220 -56
b_quark 0 4.18 144.525 -86 -45 -107 b_quark 0 4.18 98.9923 29 90 29
W+ 1 80.4 196.909 -122 127 -36 W- 1 80.4 170.652 55 -132 47
W+ 1 80.4 116.126 -27 44 66 W- 1 80.4 86.5573 -32 0 -2
b_quark 0 4.18 139.106 -57 78 100 b_quark 0 4.18 117.76 60 -7 -101
b_quark 0 4.18 88.7382 -8 -88 7 b_quark 0 4.18 162.955 16 141 80
b_quark 0 4.18 188.187 52 118 137 b_quark 0 4.18 243.714 -121 -77 -197
b_quark 0 4.18 162.823 -49 -102 -117 b_quark 0 4.18 213.083 47 77 193
W+ 1 80.4 206.323 -110 -106 113 W- 1 80.4 235.504 138 77 -155
b_quark 0 4.18 165.733 140 31 -83 b_quark 0 4.18 276.238 -220 -101 133
b_quark 0 4.18 132.471 -41 87 -91 b_quark 0 4.18 133.632 76 -108 20
b_quark 0 4.18 99.2949 83 -12 -53 b_quark 0 4.18 78.3612 -31 -59 -41
b_quark 0 4.18 83.5851 38 7 -74 b_quark 0 4.18 68.0549 38 31 47
W+ 1 80.4 210.381 -36 -140 -130 W- 1 80.4 265.771 129 123 180
b_quark 0 4.18 140.198 -118 35 -67 b_quark 0 4.18 220.96 149 6 163
b_quark 0 4.18 90.7275 -22 -49 73 b_quark 0 4.18 136.42 37 130 18
tau+ 0 1.78 229.114 -125 144 -127 tau- 0 1.78 300.987 225 -178 91
W+ 1 80.4 154.03 86 -8 99 W- 1 80.4 137.572 -29 -65 -86
W+ 1 80.4 206.604 -134 -99 92 W- 1 80.4 278.347 233 110 -68
b_quark 0 4.18 146.245 101 -12 105 b_quark 0 4.18 166.272 -163 6 -32
b_quark 0 4.18 174.205 44 -113 -125 b_quark 0 4.18 197.07 43 183 59
b_quark 0 4.18 73.5287 -18 -68 -21 b_quark 0 4.18 71.9338 23 28 62
b_quark 0 4.18 236.261 -149 -135 124 b_quark 0 4.18 230.873 128 145 -126
b_quark 0 4.18 193.697 -148 114 51 b_quark 0 4.18 193.214 132 -57 -129
W+ 1 80.4 121.623 -22 80 38 W- 1 80.4 189.479 38 -155 -63
b_quark 0 4.18 144.165 106 -11 97 b_quark 0 4.18 120.488 -12 100 -66
tau+ 0 1.78 152.546 -103 -97 -57 tau- 0 1.78 203.01 195 56 -7
b_quark 0 4.18 136.72 -31 115 -67 b_quark 0 4.18 159.535 -23 -116 107
b_quark 0 4.18 167.178 -81 123 79 b_quark 0 4.18 296.332 95 -221 -173
tau+ 0 1.78 91.1985 -13 -33 -84 tau- 0 1.78 168.639 62 16 156
b_quark 0 4.18 117.488 -113 -21 -24 b_quark 0 4.18 226.2 213 62 44
b_quark 0 4.18 132.542 -35 -118 49 b_quark 0 4.18 183.138 -19 181 20
W+ 1 80.4 167.491 102 103 24 W- 1 80.4 157.795 -125 -31 43
b_quark 0 4.18 161.689 -55 -85 -126 b_quark 0 4.18 280.689 152 156 177
b_quark 0 4.18 176.396 -112 73 -115 b_quark 0 4.18 224.469 112 -135 140
tau+ 0 1.78 81.2168 63 -40 32 tau- 0 1.78 149.924 -71 132 -3
b_quark 0 4.18 108.786 -78 -42 -63 b_quark 0 4.18 64.8188 54 22 28
W+ 1 80.4 120.699 -72 42 34 W- 1 80.4 104.193 -18 -48 42
b_quark 0 4.18 192.602 -150 103 -63 b_quark 0 4.18 197.115 124 -150 31
b_quark 0 4.18 143.466 112 -86 25 b_quark 0 4.18 241.329 -174 161 45
b_quark 0 4.18 123.541 93 -50 64 b_quark 0 4.18 249.294 -191 68 -145
W+ 1 80.4 136.474 -79 36 68 W- 1 80.4 99.7054 50 -4 31
b_quark 0 4.18 173.169 109 20 133 b_quark 0 4.18 81.5014 -10 69 -42
b_quark 0 4.18 192.261 -77 97 147 b_quark 0 4.18 248.273 114 -49 -215
b_quark 0 4.18 119.618 9 7 -119 b_quark 0 4.18 74.6892 -11 48 56
b_quark 0 4.18 171.311 103 -136 15 b_quark 0 4.18 135.928 -47 115 55
b_quark 0 4.18 94.1832 44 -79 26 b_quark 0 4.18 62.5418 -2 -13 61
b_quark 0 4.18 212.912 -133 -141 -88 b_quark 0 4.18 296.134 218 155 127
Z 1 91.2 136.482 -97 -26 15 Z 1 91.2 181.965 71 123 68
W+ 1 80.4 166.857 33 112 88 W- 1 80.4 218.516 33 -190 -64
b_quark 0 4.18 188.007 -133 -42 -126 b_quark 0 4.18 198.571 137 40 138
b_quark 0 4.18 163.345 86 112 -82 b_quark 0 4.18 248.746 -176 -175 -16
b_quark 0 4.18 158.551 114 -107 26 b_quark 0 4.18 113.505 -79 73 36
b_quark 0 4.18 63.9099 23 27 -53 b_quark 0 4.18 102.384 -85 54 18
b_quark 0 4.18 132.52 70 -10 112 b_quark 0 4.18 173.097 25 -66 -158
b_quark 0 4.18 142.991 43 -52 -126 b_quark 0 4.18 218.955 48 148 154
W+ 1 80.4 143.535 56 -69 79 W- 1 80.4 164.028 -73 114 -46
b_quark 0 4.18 49.7038 26 -16 39 b_quark 0 4.18 121.76 -76 94 -14
b_quark 0 4.18 198.943 -94 -97 146 b_quark 0 4.18 254.143 105 139 -185
W+ 1 80.4 185.885 -124 13 -112 W- 1 80.4 241.342 170 -9 151
b_quark 0 4.18 150.852 -29 147 17 b_quark 0 4.18 248.069 98 -211 -86
W+ 1 80.4 96.0321 -11 -6 -51 W- 1 80.4 158.664 106 -75 43
b_quark 0 4.18 167.441 95 -137 -15 b_quark 0 4.18 248.271 -111 220 -30
W+ 1 80.4 128.472 28 76 59 W- 1 80.4 91.9411 33 24 -18
b_quark 0 4.18 165.697 110 -77 97 b_quark 0 4.18 204.545 -168 69 -94
W+ 1 80.4 193.807 106 -94 -105 W- 1 80.4 239.575 -150 156 64
tau+ 0 1.78 126.013 -44 -92 -74 tau- 0 1.78 151.13 -33 138 52
b_quark 0 4.18 141.122 77 100 -63 b_quark 0 4.18 230.388 2 -199 116
Z 1 91.2 120.06 -52 57 12 Z 1 91.2 119.576 18 -61 44
W+ 1 80.4 191.189 129 -62 98 W- 1 80.4 161.732 -37 30 -132
tau+ 0 1.78 203.696 68 127 144 tau- 0 1.78 91.0888 27 -29 -82
b_quark 0 4.18 193.294 -30 123 -146 b_quark 0 4.18 215.201 51 -198 67
W+ 1 80.4 196.39 26 -102 145 W- 1 80.4 210.146 62 142 -117
W+ 1 80.4 140.986 82 80 -17 W- 1 80.4 122.793 3 -18 91
b_quark 0 4.18 117.862 -43 -109 12 b_quark 0 4.18 215.117 135 132 -103
b_quark 0 4.18 205.996 102 147 102 b_quark 0 4.18 270.09 -169 -93 -189
b_quark 0 4.18 198.11 131 -135 -62 b_quark 0 4.18 135.645 -57 38 117
tau+ 0 1.78 197.102 99 -122 119 tau- 0 1.78 132.967 -91 36 -90
W+ 1 80.4 192.515 -49 -111 126 W- 1 80.4 182.743 107 29 -121
b_quark 0 4.18 144.877 62 82 -102 b_quark 0 4.18 126.01 -116 -47 14
b_quark 0 4.18 64.8033 -1 34 -55 b_quark 0 4.18 57.6149 19 50 21
W+ 1 80.4 199.334 -149 85 62 W- 1 80.4 213.865 69 -183 -32
W+ 1 80.4 139.015 110 -19 20 W- 1 80.4 242.099 -208 90 -28
b_quark 0 4.18 174.936 118 119 50 b_quark 0 4.18 212.366 -120 -161 -69
b_quark 0 4.18 193.025 -101 -108 -124 b_quark 0 4.18 261.644 180 182 54
b_quark 0 4.18 183.007 -31 127 -128 b_quark 0 4.18 218.517 102 -88 172
b_quark 0 4.18 134.121 -9 -131 -27 b_quark 0 4.18 117.228 50 100 35
W+ 1 80.4 114.11 14 -40 69 W- 1 80.4 98.2505 -55 -8 10
b_quark 0 4.18 140.455 -41 110 77 b_quark 0 4.18 210.241 62 -158 -124
b_quark 0 4.18 195.726 129 -145 -25 b_quark 0 4.18 285.108 -182 191 108
b_quark 0 4.18 155.575 143 16 -59 b_quark 0 4.18 176.24 -113 -7 135
b_quark 0 4.18 151.431 -60 33 135 b_quark 0 4.18 148.887 90 -19 -117
b_quark 0 4.18 205.814 85 134 -131 b_quark 0 4.18 281.699 -27 -188 208
b_quark 0 4.18 52.3304 -28 1 44 b_quark 0 4.18 77.0096 22 -23 -70
b_quark 0 4.18 115.185 -3 -4 -115 b_quark 0 4.18 43.5715 34 14 23
Z 1 91.2 171.786 144 21 -4 Z 1 91.2 136.471 -45 -91 1
b_quark 0 4.18 198.339 103 86 146 b_quark 0 4.18 292.649 -37 -169 -236
W+ 1 80.4 166.35 -142 30 12 W- 1 80.4 199.191 173 -28 -50
b_quark 0 4.18 104.276 -10 80 -66 b_quark 0 4.18 95.6163 -16 -63 70
W+ 1 80.4 200.766 -67 -127 -115 W- 1 80.4 263.462 -22 192 160
W+ 1 80.4 110.897 43 -41 48 W- 1 80.4 139.697 -27 -21 -109
b_quark 0 4.18 168.83 -134 81 63 b_quark 0 4.18 167.891 37 -76 -145
b_quark 0 4.18 124.706 -98 -47 -61 b_quark 0 4.18 144.546 106 6 98
tau+ 0 1.78 223.851 -116 -125 -145 tau- 0 1.78 245.565 113 161 147
b_quark 0 4.18 132.255 -119 -57 -8 b_quark 0 4.18 82.5862 63 25 -47
Z 1 91.2 178.68 87 118 46 Z 1 91.2 147.633 -18 -77 -85
W+ 1 80.4 137.492 10 26 108 W- 1 80.4 136.514 66 -70 -54
tau+ 0 1.78 184.854 -142 102 60 tau- 0 1.78 186.336 125 -137 -18
b_quark 0 4.18 198.868 125 -91 125 b_quark 0 4.18 317.977 -196 180 -174
b_quark 0 4.18 148.258 85 -73 -97 b_quark 0 4.18 123.363 -22 106 59
W+ 1 80.4 165.173 -64 -129 -9 W- 1 80.4 115.534 26 32 -72
W+ 1 80.4 127.507 12 -95 -25 W- 1 80.4 163.735 83 116 0
W+ 1 80.4 184.914 -98 13 134 W- 1 80.4 228.049 149 45 -146
Z 1 91.2 125.202 -23 30 -77 Z 1 91.2 172.019 -62 23 130
b_quark 0 4.18 128.458 78 -20 100 b_quark 0 4.18 180.071 -138 -70 -92
W+ 1 80.4 142.57 33 58 97 W- 1 80.4 205.731 31 -68 -174
b_quark 0 4.18 124.834 103 14 69 b_quark 0 4.18 109.208 -79 22 -72
b_quark 0 4.18 115.015 -69 79 47 b_quark 0 4.18 93.4477 79 -25 43
b_quark 0 4.18 139.163 16 18 -137 b_quark 0 4.18 214.071 30 -115 178
b_quark 0 4.18 209.169 -110 -145 -103 b_quark 0 4.18 217.34 87 83 181
b_quark 0 4.18 153.109 -132 15 -76 b_quark 0 4.18 149.745 145 34 15
W+ 1 80.4 143.224 52 23 104 W- 1 80.4 111.446 -6 -12 -76
b_quark 0 4.18 74.8497 61 -10 -42 b_quark 0 4.18 86.7322 -44 40 63
W+ 1 80.4 158.62 34 -82 104 W- 1 80.4 211.533 -97 132 -107
tau+ 0 1.78 155.808 109 -106 34 tau- 0 1.78 190.439 -136 62 -118
b_quark 0 4.18 100.675 93 -5 38 b_quark 0 4.18 179.746 -131 -73 -99
W+ 1 80.4 179.706 59 -125 -82 W- 1 80.4 135.758 -66 37 79
b_quark 0 4.18 79.7463 -74 -5 -29 b_quark 0 4.18 83.2014 64 28 -45
b_quark 0 4.18 102.754 69 -68 34 b_quark 0 4.18 161.482 -147 61 27
b_quark 0 4.18 183.781 -77 -98 135 b_quark 0 4.18 173.443 150 29 -82
W+ 1 80.4 175.662 2 -142 65 W- 1 80.4 220.296 40 185 -79
b_quark 0 4.18 54.4286 50 -21 -2 b_quark 0 4.18 87.7694 31 65 -50
W+ 1 80.4 106.307 15 -16 -66 W- 1 80.4 121.471 -71 15 55
W+ 1 80.4 173.188 7 60 141 W- 1 80.4 146.199 -50 -47 -101
b_quark 0 4.18 57.0392 56 -6 8 b_quark 0 4.18 144.411 -114 -79 40
b_quark 0 4.18 172.808 108 -134 -15 b_quark 0 4.18 158.513 -39 152 -22
W+ 1 80.4 241.208 140 -119 -134 W- 1 80.4 299.029 -208 189 63
b_quark 0 4.18 150.537 100 88 -70 b_quark 0 4.18 146.695 -6 -145 -21
b_quark 0 4.18 168.331 38 135 -93 b_quark 0 4.18 171.541 -62 -154 43
b_quark 0 4.18 113.082 -63 -49 80 b_quark 0 4.18 105.917 11 102 -26
b_quark 0 4.18 107.664 -107 2 11 b_quark 0 4.18 82.6285 20 13 -79
W+ 1 80.4 135.075 -9 36 -102 W- 1 80.4 182.108 107 -65 105
b_quark 0 4.18 107.599 90 -56 18 b_quark 0 4.18 197.723 -87 148 -98
b_quark 0 4.18 77.3529 74 21 7 b_quark 0 4.18 114.422 -75 77 -39
b_quark 0 4.18 174.529 93 -95 -113 b_quark 0 4.18 247.076 -126 108 183
b_quark 0 4.18 189.028 -52 117 139 b_quark 0 4.18 246.04 95 -142 -177
b_quark 0 4.18 123.051 -92 78 24 b_quark 0 4.18 237.054 182 -147 38
b_quark 0 4.18 147.172 104 -25 -101 b_quark 0 4.18 110.025 -84 -54 46
W+ 1 80.4 117.41 39 38 66 W- 1 80.4 172.691 -115 -23 -98
W+ 1 80.4 196.998 122 -84 -102 W- 1 80.4 322.064 -219 156 158
b_quark 0 4.18 147.24 -118 57 -67 b_quark 0 4.18 145.875 129 30 61
b_quark 0 4.18 153.507 -37 -113 -97 b_quark 0 4.18 256.489 76 157 188
W+ 1 80.4 186.955 -104 94 -94 W- 1 80.4 119.366 38 -16 78
W+ 1 80.4 203.966 -28 -135 -127 W- 1 80.4 207.273 8 185 47
b_quark 0 4.18 233.055 -124 -140 -139 b_quark 0 4.18 258.309 201 121 108
b_quark 0 4.18 150.075 100 -52 99 b_quark 0 4.18 132.979 -96 91 -13
b_quark 0 4.18 139.812 111 -72 45 b_quark 0 4.18 196.851 -152 125 2
b_quark 0 4.18 158.201 145 41 -48 b_quark 0 4.18 141.292 -72 11 121
b_quark 0 4.18 107.347 51 -93 -16 b_quark 0 4.18 189.059 -38 181 39
b_quark 0 4.18 163.702 40 85 134 b_quark 0 4.18 228.236 32 -107 -199
b_quark 0 4.18 104.726 35 -50 -85 b_quark 0 4.18 220.811 22 120 184
b_quark 0 4.18 84.5131 -68 -50 -1 b_quark 0 4.18 148.093 127 59 -48
b_quark 0 4.18 169.56 72 -110 -107 b_quark 0 4.18 83.3035 15 44 69
b_quark 0 4.18 99.5865 10 98 14 b_quark 0 4.18 133.785 21 -108 76
W+ 1 80.4 111.585 -43 -63 13 W- 1 80.4 164.819 136 42 21
W+ 1 80.4 212.135 146 -65 114 W- 1 80.4 206 -144 80 -94
b_quark 0 4.18 178.088 -61 -149 -76 b_quark 0 4.18 186.409 23 91 161
b_quark 0 4.18 131.368 14 130 -12 b_quark 0 4.18 219.626 -56 -181 111
b_quark 0 4.18 196.671 122 123 -93 b_quark 0 4.18 220.791 -213 -31 49
b_quark 0 4.18 146.077 32 -131 -56 b_quark 0 4.18 137.766 -35 131 24
b_quark 0 4.18 91.1508 -19 3 89 b_quark 0 4.18 108.404 -78 57 -49
b_quark 0 4.18 88.3882 21 -73 45 b_quark 0 4.18 171.206 -119 38 -117
b_quark 0 4.18 214.526 128 108 134 b_quark 0 4.18 244.586 -50 -59 -232
W+ 1 80.4 186.371 105 126 37 W- 1 80.4 183.175 -137 -88 24
tau+ 0 1.78 153.19 -96 62 -102 tau- 0 1.78 236.466 172 -48 155
b_quark 0 4.18 151.114 -25 -148 17 b_quark 0 4.18 157.85 113 93 59
b_quark 0 4.18 109.414 73 80 -15 b_quark 0 4.18 96.553 22 -30 89
b_quark 0 4.18 183.536 66 -104 -136 b_quark 0 4.18 251.816 15 112 225
b_quark 0 4.18 186.342 -135 55 116 b_quark 0 4.18 295.099 181 -143 -184
W+ 1 80.4 188.367 145 53 -72 W- 1 80.4 200.744 -101 -152 23
W+ 1 80.4 203.318 96 -137 83 W- 1 80.4 245.842 -186 57 -127
b_quark 0 4.18 182.163 -9 -134 -123 b_quark 0 4.18 165.25 -3 160 41
b_quark 0 4.18 122.546 20 26 -118 b_quark 0 4.18 58.8088 -35 -10 46
b_quark 0 4.18 164.604 -145 54 -56 b_quark 0 4.18 136.248 68 -101 61
b_quark 0 4.18 160.086 -80 -83 111 b_quark 0 4.18 249.021 -7 132 -211
W+ 1 80.4 183.745 145 33 72 W- 1 80.4 193.117 -105 46 -133
b_quark 0 4.18 135.423 -121 -9 60 b_quark 0 4.18 65.5627 41 -46 -22
b_quark 0 4.18 209.18 95 -117 145 b_quark 0 4.18 80.9535 -22 54 -56
b_quark 0 4.18 154.028 -75 99 91 b_quark 0 4.18 199.751 7 -135 -147
tau+ 0 1.78 180.242 52 -92 146 tau- 0 1.78 177.508 -67 11 -164
W+ 1 80.4 216.678 -146 80 -113 W- 1 80.4 236.57 189 -28 114
b_quark 0 4.18 138.32 23 -19 135 b_quark 0 4.18 169.439 -92 -62 -128
tau+ 0 1.78 209.249 -125 -134 -101 tau- 0 1.78 178.138 64 135 97
b_quark 0 4.18 95.0919 -69 -58 30 b_quark 0 4.18 91.9536 2 75 -53
b_quark 0 4.18 140.33 -45 -73 -111 b_quark 0 4.18 105.804 -46 15 94
b_quark 0 4.18 215.589 106 140 125 b_quark 0 4.18 251.997 -78 -224 -85
tau+ 0 1.78 131.61 102 -5 83 tau- 0 1.78 99.6603 -21 -32 -92
b_quark 0 4.18 176.067 -141 74 -75 b_quark 0 4.18 97.8901 50 -84 3
b_quark 0 4.18 157.094 -82 -129 -36 b_quark 0 4.18 237.951 179 89 129
W+ 1 80.4 198.54 -103 -21 -148 W- 1 80.4 317.863 186 -21 244
tau+ 0 1.78 170.664 -81 -121 89 tau- 0 1.78 230.233 2 190 -130
tau+ 0 1.78 187.449 122 45 135 tau- 0 1.78 143.876 -110 26 -89
b_quark 0 4.18 172.923 90 -131 -68 b_quark 0 4.18 190.225 -94 94 136
b_quark 0 4.18 188.081 -128 -123 -62 b_quark 0 4.18 255.649 123 221 37
W+ 1 80.4 198.066 50 121 125 W- 1 80.4 258.206 -65 -134 -195
Z 1 91.2 163.742 -67 89 -78 Z 1 91.2 215.57 144 -131 16
W+ 1 80.4 158.257 25 134 0 W- 1 80.4 201.336 14 -174 -60
b_quark 0 4.18 175.244 73 -130 92 b_quark 0 4.18 139.066 -119 56 -45
b_quark 0 4.18 131.827 -66 114 3 b_quark 0 4.18 162.602 113 -87 78
tau+ 0 1.78 64.7856 19 53 32 tau- 0 1.78 117.27 -28 -14 -113
Z 1 91.2 110.961 21 55 23 Z 1 91.2 148.214 29 -100 53
b_quark 0 4.18 114.466 30 -92 -61 b_quark 0 4.18 186.181 -89 65 150
b_quark 0 4.18 204.637 -125 -103 -125 b_quark 0 4.18 302.983 224 198 49
b_quark 0 4.18 186.109 -111 143 43 b_quark 0 4.18 116.844 77 -65 -59
b_quark 0 4.18 125.672 -16 -92 84 b_quark 0 4.18 248.834 69 166 -172
b_quark 0 4.18 180.96 32 99 148 b_quark 0 4.18 164.34 -5 -57 -154
W+ 1 80.4 173.012 -128 14 83 W- 1 80.4 202.552 101 -101 -119
b_quark 0 4.18 118.703 -14 -94 71 b_quark 0 4.18 145.16 22 11 -143
W+ 1 80.4 199.475 -139 -118 -9 W- 1 80.4 264.042 217 98 -81
W+ 1 80.4 217.727 -94 148 101 W- 1 80.4 254.443 159 -64 -170
W+ 1 80.4 225.542 148 150 1 W- 1 80.4 142.071 -74 -90 -12
b_quark 0 4.18 188.201 73 117 -128 b_quark 0 4.18 187.74 -38 -148 109
W+ 1 80.4 184.914 -112 32 119 W- 1 80.4 231.392 101 34 -189
b_quark 0 4.18 123.945 -40 -56 103 b_quark 0 4.18 189.791 -37 103 -155
b_quark 0 4.18 233.697 -118 -148 137 b_quark 0 4.18 246.827 29 76 -233
b_quark 0 4.18 195.196 -144 98 -88 b_quark 0 4.18 178.694 133 -65 100
b_quark 0 4.18 91.9428 28 86 -16 b_quark 0 4.18 200.209 -104 -171 3
b_quark 0 4.18 132.191 -10 14 131 b_quark 0 4.18 114.191 29 -34 -105
W+ 1 80.4 198.308 -67 -137 98 W- 1 80.4 213.134 75 116 -141
b_quark 0 4.18 143.539 -115 -56 65 b_quark 0 4.18 84.4421 67 -40 32
b_quark 0 4.18 102.272 84 19 55 b_quark 0 4.18 142.771 -131 -54 -17
W+ 1 80.4 112.819 -2 76 22 W- 1 80.4 117.427 0 -85 -10
b_quark 0 4.18 131.387 118 36 45 b_quark 0 4.18 227.962 -204 -27 -98
b_quark 0 4.18 105.24 92 -35 -37 b_quark 0 4.18 252.362 -172 127 134
b_quark 0 4.18 141.08 114 67 49 b_quark 0 4.18 193.839 -164 -102 -16
W+ 1 80.4 121.878 -71 57 -10 W- 1 80.4 87.3508 7 -26 21
Z 1 91.2 162.057 -105 14 -82 Z 1 91.2 116.045 27 -62 24
W+ 1 80.4 202.904 -124 -139 -3 W- 1 80.4 219.912 133 148 -48
b_quark 0 4.18 92.9326 41 -7 83 b_quark 0 4.18 96.3144 -3 -41 -87
b_quark 0 4.18 148.309 23 100 -107 b_quark 0 4.18 260.316 21 -159 205
W+ 1 80.4 139.205 4 -73 87 W- 1 80.4 129.954 38 -12 -94
b_quark 0 4.18 126.339 120 10 38 b_quark 0 4.18 78.0094 -52 42 40
b_quark 0 4.18 117.288 -19 63 97 b_quark 0 4.18 74.6825 30 -58 -36
b_quark 0 4.18 173.858 -108 -76 113 b_quark 0 4.18 265.685 91 163 -189
W+ 1 80.4 179.447 80 -136 29 W- 1 80.4 271.737 -170 194 -29
b_quark 0 4.18 176.645 135 81 80 b_quark 0 4.18 295.268 -233 -114 -141
b_quark 0 4.18 186.988 145 101 61 b_quark 0 4.18 192.654 -128 -55 -133
W+ 1 80.4 128.395 -7 -54 -84 W- 1 80.4 140.179 -64 -21 93
b_quark 0 4.18 126.694 -81 97 -8 b_quark 0 4.18 118.712 15 -107 49
b_quark 0 4.18 197.685 -49 -119 -150 b_quark 0 4.18 135.567 12 116 69
b_quark 0 4.18 192.685 -53 -110 -149 b_quark 0 4.18 197.43 22 146 131
b_quark 0 4.18 105.088 0 -35 -99 b_quark 0 4.18 116.651 -55 98 31
W+ 1 80.4 197.629 -124 -24 129 W- 1 80.4 260.836 203 61 -129
W+ 1 80.4 190.752 -28 -107 133 W- 1 80.4 225.349 -7 13 -210
b_quark 0 4.18 165.404 8 -141 86 b_quark 0 4.18 188.654 -32 185 -18
W+ 1 80.4 189.742 113 95 88 W- 1 80.4 240.795 -203 -65 -78
b_quark 0 4.18 157.91 -103 -97 70 b_quark 0 4.18 171.544 60 77 -141
tau+ 0 1.78 98.3675 -93 -32 0 tau- 0 1.78 101.367 44 80 44
b_quark 0 4.18 125.298 75 -99 -16 b_quark 0 4.18 199.006 -115 144 75
tau+ 0 1.78 172.734 -51 137 -92 tau- 0 1.78 249.954 88 -207 109
b_quark 0 4.18 128.804 88 -27 90 b_quark 0 4.18 157.25 -135 -71 -38
W+ 1 80.4 230.985 -125 -143 104 W- 1 80.4 274.438 106 240 -4
b_quark 0 4.18 114.366 46 61 85 b_quark 0 4.18 29.8743 23 -11 15
b_quark 0 4.18 122.583 -11 2 122 b_quark 0 4.18 100.74 -29 -37 -89
b_quark 0 4.18 174.947 58 99 -132 b_quark 0 4.18 246.794 39 -155 188
b_quark 0 4.18 119.442 -77 -72 -56 b_quark 0 4.18 130.059 128 -17 -15
W+ 1 80.4 88.9166 31 -20 9 W- 1 80.4 100.842 50 34 -7
W+ 1 80.4 166.413 -104 -3 102 W- 1 80.4 221.743 147 -19 -144
b_quark 0 4.18 162.882 76 -129 -64 b_quark 0 4.18 175.21 -59 128 104
b_quark 0 4.18 156.494 126 26 89 b_quark 0 4.18 181.787 -134 -113 -48
b_quark 0 4.18 185.678 -123 -3 139 b_quark 0 4.18 110.211 92 -23 -56
b_quark 0 4.18 158.743 51 135 66 b_quark 0 4.18 156.67 44 -136 -64
b_quark 0 4.18 198.342 141 -120 -71 b_quark 0 4.18 187.306 -152 109 -9
b_quark 0 4.18 141.938 -75 98 70 b_quark 0 4.18 240.814 83 -179 -138
W+ 1 80.4 177.947 -82 -51 126 W- 1 80.4 275.037 22 144 -219
W+ 1 80.4 170.042 0 -147 -29 W- 1 80.4 203.608 60 156 84
b_quark 0 4.18 124.203 93 -6 -82 b_quark 0 4.18 181.382 -128 -53 117
b_quark 0 4.18 193.865 -125 146 -25 b_quark 0 4.18 153.865 45 -136 -56
b_quark 0 4.18 147.335 92 1 115 b_quark 0 4.18 179.698 -127 -73 -104
b_quark 0 4.18 73.895 13 -45 -57 b_quark 0 4.18 130.903 69 111 -6
b_quark 0 4.18 184.53 -97 60 145 b_quark 0 4.18 249.422 60 -115 -213
b_quark 0 4.18 172.741 -134 -75 79 b_quark 0 4.18 198.752 120 158 -11
b_quark 0 4.18 137.067 49 -60 113 b_quark 0 4.18 104.645 12 95 -42
b_quark 0 4.18 168.602 119 -102 -62 b_quark 0 4.18 179.071 -62 83 146
b_quark 0 4.18 58.3307 -6 -57 10 b_quark 0 4.18 146.275 -33 137 -39
W+ 1 80.4 189.003 71 -59 -144 W- 1 80.4 196.395 -81 -39 155
b_quark 0 4.18 93.346 82 26 36 b_quark 0 4.18 185.765 -181 7 41
b_quark 0 4.18 64.3076 -61 19 6 b_quark 0 4.18 102.701 -12 69 75
b_quark 0 4.18 178.111 -132 -11 119 b_quark 0 4.18 285.628 231 -67 -154
W+ 1 80.4 172.873 -104 107 34 W- 1 80.4 154.03 11 -74 -108
b_quark 0 4.18 119.881 109 -48 13 b_quark 0 4.18 173.143 -79 122 -94
W+ 1 80.4 164.311 118 69 43 W- 1 80.4 157.83 -47 -126 -19
b_quark 0 4.18 103.056 15 -87 53 b_quark 0 4.18 170.093 -112 119 47
b_quark 0 4.18 118.813 31 93 -67 b_quark 0 4.18 127.356 7 -32 123
b_quark 0 4.18 86.7552 -73 -8 46 b_quark 0 4.18 161.773 108 100 -67
b_quark 0 4.18 167.414 149 -25 72 b_quark 0 4.18 213.081 -212 21 1
b_quark 0 4.18 149.206 52 121 -70 b_quark 0 4.18 221.428 18 -217 40
b_quark 0 4.18 105.131 -99 -3 35 b_quark 0 4.18 206.062 182 -22 -94
tau+ 0 1.78 105.072 38 -43 88 tau- 0 1.78 109.696 10 7 -109
b_quark 0 4.18 122.945 -57 100 43 b_quark 0 4.18 189.883 109 -154 -21
